Name,City,Latitude,Longitude,Diesel price 
A. R. DOSHI,RASHIN,18.43524,74.922858,91.26
ADARSH AUTOMOBILES,PUNE,18.562112,73.924628,90.35
"ALFA SERVICE STATION, NAIGAON",NAIGAON,18.488631,74.085941,90.24
AMIT SERVICE CENTRE,BHOR,18.143793,73.853754,90.78
ANANT OIL AGENCIES,RAHURI,19.388868,74.64786,90.88
ASHISH PETROLEUM,MORGAON,18.274073,74.318008,90.74
ASHOK PETROLEUM,YAWAT,18.474773,74.273983,90.4
DESHMUKH PETROLEUM,PUNE,18.488571,73.857154,90.35
"BHARAT PETROL DEPOT, NAVI PETH",PUNE,18.50784,73.843903,90.35
"BHARAT PETROL DEPOT, TILAK TOAD",PUNE,18.502366,73.856892,90.35
BHAGAVATIPUR VK SSK LTD.,KOLHAR,19.545573,74.532218,91.04
RAJENDRA FUEL CENTRE,LONI KALBHOR,18.488943,74.035853,90.24
D. G. MUTHA,SIRUR,18.828422,74.371085,90.93
DATTA AUTOMOBILES,KHED SHIVAPUR,18.336566,73.853374,90.49
"DEEPAK PETROLEUM, KURDUWADI",KURDUWADI,18.092348,75.413319,91.15
FAMOUS AUTO CENTRE,PUNE,18.527304,73.842575,90.35
HARIKISON AUTO SERVICE,AHMEDNAGAR,19.084855,74.735008,90.5
HUTATMA RAJGURU SERVICES,CHANDOLI,18.843187,73.881303,90.66
JAIHIND HIGHWAY SERVICE STATION,PUNE,18.638711,73.795854,90.41
JANATA AUTOMOBILES,PUNE,18.515519,73.86773,90.35
GHUMATKAR PETROLEUM,RAJGURUNAGAR,18.860443,73.890524,90.71
"K.B. LAHOTI, SANGAMNER",SANGAMNER,19.56954,74.212357,91.31
MOHANISH AUTO CENTRE,PUNE,18.534497,73.87922,90.35
NUSSERWAN PETROL SERVICE STATION,PUNE,18.468693,73.858048,90.35
"OZA BROTHERS, SANGAMNER RD.",SHRIRAMPUR,19.619928,74.651078,91.16
"PREMCHAND LAXMICHAND & SONS,KEDGAON",KEDGAON,18.453554,74.3781,90.57
"PREMCHAND LAXMICHAND & SONS, DAUND",DAUND,18.467053,74.57292,90.83
PREMIER SUPPLY CO.,PUNE,18.513125,73.844741,90.35
RELIABLE PETROLEUM,BHANDGAON,18.460294,74.3476,90.45
ROSHANI SERVICES,PUNE,18.539237,73.885772,90.35
S. G. DATE & CO.,BARAMATI,18.154142,74.570819,91.02
SHREE SADGURU SERVICE STATION,PUNE,18.526578,73.850827,90.35
SARASWATI AUTO SERVICES,PUNE,18.499966,73.86603,90.35
SELECT AUTOMOBILES,PUNE,18.510031,73.833517,90.35
"SHAH DHARSHI JIWAN & CO., AKLUJ",AKLUJ,17.892905,75.015645,91.5
"SHAH DHARSHI JIWAN & CO., INDAPUR",INDAPUR,18.110333,75.02177,91.38
"SHAH DHARSHI JIWAN & CO., BHIGWAN",BHIGWAN,18.3075,74.751055,91.01
S.M.S.M.P. SSK LTD,AKLUJ,17.885149,75.0213,91.5
SHRI SHANKAR SSK LTD.,SADASHIVNAGAR,17.872866,74.83879,91.6
SHRIGONDA FARM FUEL CENTRE,SHRIGONDA,18.607998,74.690595,90.97
TEKAWADE SERVICE STATION,PUNE,18.499227,73.94905,90.35
TOP UP CENTRE,AHMEDNAGAR,19.108995,74.7456,90.5
U.P. GUJAR,SHIKRAPUR,18.692137,74.131504,90.59
"VARDHAMAN PETROL DEPOT, WARJE",PUNE,18.483096,73.802343,90.35
WESTERN TRANSPORT AGENCY,KATRAJ,18.423198,73.860225,90.34
POHEGAON KHURD VIVIDH KARYAKARI,POHEGAON,19.835316,74.42126,90.83
SHREE SERVICE STATION,WAGHOLI,18.58245,73.987181,90.41
J.B. HIGHWAY,MANGALORE,12.940391,74.81609,90.17
JANATHA FUELS,MANGALORE,12.914734,74.834318,90.21
M.A. KRISHNA NAYAK & CO (BC ROAD),BANTWAL,12.882507,75.028353,90.33
M.A. KRISHNA NAYAK & CO (BALMATTA),MANGALORE,12.873598,74.851293,90.21
M.A. KRISHNA NAYAK & CO(ULLAL),ULLAL,12.791806,74.858018,90.26
M.A. KRISHNA NAYAK & CO(KODAILBAIL),MANGALORE,12.874438,74.839956,90.21
M.A. KRISHNA NAYAK & CO(MULKI),MULKI,13.082839,74.789456,90.17
K.B. MALLA & COMPANY,BELTHANGADY,12.991595,75.283213,90.7
M.MANJAPPA SHETTY,MOODBIDRI,13.067687,74.993758,90.34
UNITED MOTORS,MANGALORE,12.868147,74.851948,90.21
K. VASUDEV KAMATH,JALSOOR,12.59433,75.336057,90.97
CANARA SALES CORPORATION (KARKALA),UDUPI,13.212886,74.99724,90.54
M.R. KARNAD & SONS,UDUPI,13.342,74.747437,90.48
KRUPA MOTORS & FUELS,HEBRI,13.456686,74.984247,90.84
RAJALAKSHMI SERVICE STATION,KOTESHWAR,13.587445,74.698391,90.77
RAJANI FUEL CENTER,TALLUR,13.651783,74.706364,90.82
S.G. ENTERPRISES,BAINDOOR,13.853566,74.630388,91.11
ASHITHA ENTERPRISES,GUNDMI,13.478068,74.713168,90.7
SYAMNUR SERVICE STATION,CHIKMAGALUR,13.325922,75.774576,91.68
N.K.LINGE GOWDA & SONS,MUDIGERE,13.137424,75.640737,92.05
SHANKAR MILLS (KOPPA),KOPPA,13.5353,75.366082,91.58
SHANKAR MILLS (BALEHONNUR),BALEHONNUR,13.350956,75.465471,91.77
SHARDAMBA SERVICE STATION,SHRINGERI,13.420942,75.247567,91.23
S.B.GOWDAIAH,HASSAN,13.002788,76.107935,90.79
B M CHANDRASHEKHAR,SAKLESHPURA,12.946287,75.787549,91
K.C.YOGISH,CHANNARAYAPATNA,12.905994,76.387218,91.04
L.M.GHOUSE,BELUR,13.170643,75.875947,91.34
K.VENKATSWAMY & CO ( ARSIKERE),ARSIKERE,13.317116,76.253629,91.09
SRI LAKSHMI SERVICE STATION,SHRAVANABELAGOLA,12.861863,76.479087,91.14
CANARA SALES CORPORATION,MADIKERI,12.418279,75.740407,91.95
P.S. THIMMAIAH & CO,GONIKOPPAL,12.184383,75.922486,92.17
GANESH FUELS,MURNAD,12.314674,75.751385,91.97
KUSHALNAGAR WORKS (KUSHALNAGAR),KUSHALNAGAR,12.450596,75.968452,92.19
KUSHALNAGAR WORKS (POLIBETTA),POLIBETTA,12.239152,75.913213,92.23
GANESH AGENCY,SOMWARPET,12.59845,75.85113348,92.25
COORG FUELS,VIRAJPET,12.193317,75.802028,92.18
K.V.NIRANJAN,BANASANDRA,13.311307,76.655535,91.39
SRI MANJUNATHASWAMY SERVICE STATION,SHIMOGA,13.916135,75.564638,92.23
S.G.SHIVASHANKARAIAH & SONS,BHADRAVATHI,13.842523,75.697546,92.23
KUMAR ENTERPRISES,AYYANUR,14.009113,75.438051,92.02
GAJANANA FILLING STATION,SAGAR,14.166745,75.04353,92.23
H V R & H V K,THIRTHAHALLI,13.690565,75.249285,91.68
SOWKAR M BABA PAI (WEST MAIDAN),MANGALORE,12.888064,74.835455,90.21
BHASKAR SARVOTTAM KAMATH & SONS,UPPINANGADY,12.837373,75.241018,90.61
MYMPSN,MANGALORE,12.85582,74.833446,74.78
DEEPAK SALES & SERVICES,MANGALORE,12.948997,74.810409,90.17
SRI DURGA SERVICE STATION,B.C.ROAD (NR.FR.PET),12.876666,75.01215,90.33
ANURADHA AUTO SERVICE CENTRE,VISAKHAPATNAM,17.716564,83.204724,96.24
BHAGYALAXMI FILLING STATION,VISAKHAPATNAM,17.747624,83.331127,96.24
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,PAYAKARAOPET,17.367395,82.566744,96.96
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,YELAMANCHILI,17.554223,82.858696,96.67
J C ENTERPRISES,ANANDAPURAM,17.901081,83.397291,96.38
MAHALAKSHMI ENTERPRISES,OLD GAJUWAKA,17.68395,83.202367,96.3
MATSYA MARINES,VISAKHAPATNAM,17.699796,83.302159,96.24
ONDURU BOJJAIAH SON,PADERU,18.081996,82.665466,96.99
SRI SATYASAI ENTERPRISES,SABBAVARAM,17.78236,83.117279,96.31
SRINIVASA SERVICE CENTRE,UGGINIPALEM,17.642284,82.903946,96.48
SRINIVASA AUTOMOBILE SERVICE STN,VISAKHAPATNAM,17.724834,83.309147,96.24
TIRUMALA ENTERPRISES,VISAKHAPATNAM,17.713353,83.294187,96.24
SIMHADRI AGENCIES,VISAKHAPATNAM,17.761888,83.334045,96.24
V CHALAMAIAH SONS,VISAKHAPATNAM,17.685495,83.216825,96.19
SRINIVASA AUTO CENTRE,THIMMAPURAM,17.422511,82.737839,96.75
GENERAL ENTERPRISES,VIZIANAGARAM,18.107236,83.396342,96.8
M SANYASI CHETTY & GURU MURTHY,BHUSAIVALASA,18.483093,83.285096,97.44
M.CHINA SANYASI CHETTY & SON,SALUR,18.518416,83.201138,97.44
SRI VENKATADURGA ENTERPRISES,KOTHAVALASA,17.883516,83.188133,96.31
P SATYANARAYANA GUPTA,RAJAM,18.449425,83.661097,97.38
SRI BALAJI AGENCIES,KAKINADA,16.954213,82.231531,97.71
LAKEVIEW FILLING STATION,KAKINADA,16.994287,82.24278,97.71
AKSHAY AUTOMOBILES,KAKINADA,17.017371,82.263033,97.71
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,VELAMKOTHUR,17.340433,82.511369,97.03
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,PITHAPURAM,17.110251,82.255012,97.47
SRI LAKSHMI AGENCIES,RAJAHMUNDRY,17.012223,81.782055,96.74
SREE SURYAPRAKASH SERVICE STATION.,RAJAHMUNDRY,17.027302,81.808044,96.74
BUCHIBABU FILLING CENTRE,ETHAKOTA,16.724978,81.83086,97.06
SRI BHIMESWARA AGENCIES,AMALAPURAM,16.581128,81.99682,97.4
SRI RAMA SURYA SATYA AGENCIES,AMALAPURAM,16.57816,82.00214,97.4
PADMA PETROLEUMS,ANAPARTHY,16.931269,81.953636,96.93
SRI PATTABHIRAM COMMERCIAL SYNDICAT,MALKIPURAM,16.408749,81.796702,97.67
